"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate","avgBets"
"Min","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Med",-1143,0.328992237920809,53.3333333333333
"Min","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Min",-2487,0.34894851880146,136.666666666667
"Min","MFTHGt , MFTAGm , OddO2.5","Low",-1269.33333333333,0.35962536859276,87.6666666666667
"Min","MFTHGt , MFTAGm , OddO2.5","Max",-117.666666666667,0.486111111111111,7.33333333333333
"Min","MFTHGt , MFTAGm , OddO2.5","Med",-888.666666666667,0.344578173149602,46.3333333333333
"Min","MFTHGt , MFTAGm , OddO2.5","Min",-1617,0.377626095342829,120
"Min","MFTHGt , MFTHGm","Low",-277.666666666667,0.496316425120773,69.6666666666667
"Min","MFTHGt , MFTHGm","Max",94,0.652777777777778,14
"Min","MFTHGt , MFTHGm","Med",173.666666666667,0.570833333333333,45.3333333333333
"Min","MFTHGt , MFTHGm","Min",-533,0.481065867003367,91.6666666666667
"Min","MFTHGt , MFTHGm , OddO2.5","Low",-1180.33333333333,0.361075166781688,93.6666666666667
"Min","MFTHGt , MFTHGm , OddO2.5","Max",72.3333333333334,0.509259259259259,9.33333333333333
"Min","MFTHGt , MFTHGm , OddO2.5","Med",-553,0.373390894819466,51.6666666666667
"Min","MFTHGt , MFTHGm , OddO2.5","Min",-1518,0.365730837789661,131
"Min","MFTHGt , OddO2.5","Low",-614,0.368573153899241,76.6666666666667
"Min","MFTHGt , OddO2.5","Max",30,0.465277777777778,6
"Min","MFTHGt , OddO2.5","Med",-354.333333333333,0.382326007326007,42.6666666666667
"Min","MFTHGt , OddO2.5","Min",-691.333333333333,0.389938601703308,107.666666666667
"Min","OddO2.5","Low",-708.333333333333,0.363986265344961,71.6666666666667
"Min","OddO2.5","Max",50,0.5,4.33333333333333
"Min","OddO2.5","Med",-507.666666666667,0.353607041107041,39
"Min","OddO2.5","Min",-714.666666666667,0.385885642135642,101.333333333333
"Med","MFTAGm","Low",-502,0.426468633705476,34.6666666666667
"Med","MFTAGm","Max",-33,0.532407407407407,6.66666666666667
"Med","MFTAGm","Med",-184.333333333333,0.509523809523809,22.6666666666667
"Med","MFTAGm","Min",-481,0.464865409175754,46.6666666666667
"Med","MFTAGm , MFTHGm","Low",-846.333333333333,0.467652717652718,48.6666666666667
"Med","MFTAGm , MFTHGm","Max",68.6666666666667,0.611111111111111,9
"Med","MFTAGm , MFTHGm","Med",-178.666666666667,0.566433566433566,28.6666666666667
"Med","MFTAGm , MFTHGm","Min",-715.333333333333,0.498407775020678,70
"Med","MFTAGm , MFTHGm , OddO2.5","Low",-805.333333333333,0.331580667354661,43.3333333333333
"Med","MFTAGm , MFTHGm , OddO2.5","Max",-132.333333333333,0.25,2.66666666666667
"Med","MFTAGm , MFTHGm , OddO2.5","Med",-711.333333333333,0.287654320987654,22.3333333333333
"Med","MFTAGm , MFTHGm , OddO2.5","Min",-629.666666666667,0.396626984126984,64.3333333333333
"Med","MFTAGm , OddO2.5","Low",-445,0.357195767195767,42
"Med","MFTAGm , OddO2.5","Max",-175.666666666667,0.25,3.33333333333333
"Med","MFTAGm , OddO2.5","Med",-640.666666666667,0.256439393939394,22
"Med","MFTAGm , OddO2.5","Min",-446.333333333333,0.379508301404853,60.6666666666667
"Med","MFTAGt","Low",488,0.559634997316157,46.3333333333333
"Med","MFTAGt","Max",97.6666666666667,0.625,7.33333333333333
"Med","MFTAGt","Med",167.333333333333,0.537487512487512,31
"Med","MFTAGt","Min",332,0.51520202020202,58.6666666666667
"Med","MFTAGt , MFTAGm","Low",14.3333333333333,0.497652116402116,46.6666666666667
"Med","MFTAGt , MFTAGm","Max",-159.666666666667,0.5,8.66666666666667
"Med","MFTAGt , MFTAGm","Med",-151,0.489305337519623,31.6666666666667
"Med","MFTAGt , MFTAGm","Min",54.6666666666666,0.488519721019721,67.3333333333333
"Med","MFTAGt , MFTAGm , MFTHGm","Low",-37.3333333333333,0.553045052244137,56
"Med","MFTAGt , MFTAGm , MFTHGm","Max",-51.3333333333333,0.611111111111111,9
"Med","MFTAGt , MFTAGm , MFTHGm","Med",-94.3333333333333,0.527254491540206,37.3333333333333
"Med","MFTAGt , MFTAGm , MFTHGm","Min",-122.333333333333,0.532353732545303,81.3333333333333
"Med","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Low",-665,0.347501341921632,48.3333333333333
"Med","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Max",-132.333333333333,0.277777777777778,2.66666666666667
"Med","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Med",-705.333333333333,0.310683760683761,26.6666666666667
"Med","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Min",-962,0.37587002901519,72.3333333333333
"Med","MFTAGt , MFTAGm , OddO2.5","Low",-335.333333333333,0.378770194946666,48.6666666666667
"Med","MFTAGt , MFTAGm , OddO2.5","Max",-96.6666666666667,0.351851851851852,4
"Med","MFTAGt , MFTAGm , OddO2.5","Med",-541,0.325617283950617,26.6666666666667
"Med","MFTAGt , MFTAGm , OddO2.5","Min",-415.333333333333,0.393903505476524,74
"Med","MFTAGt , MFTHGm","Low",-117.333333333333,0.499404761904762,59.6666666666667
"Med","MFTAGt , MFTHGm","Max",-118,0.480555555555556,9.33333333333333
"Med","MFTAGt , MFTHGm","Med",-175.666666666667,0.490903540903541,36.6666666666667
"Med","MFTAGt , MFTHGm","Min",-388,0.485130523734783,80.3333333333333
"Med","MFTAGt , MFTHGm , OddO2.5","Low",-686.333333333333,0.337918871252205,46.6666666666667
"Med","MFTAGt , MFTHGm , OddO2.5","Max",-123.333333333333,0.25,2.66666666666667
"Med","MFTAGt , MFTHGm , OddO2.5","Med",-644,0.310648148148148,26.6666666666667
"Med","MFTAGt , MFTHGm , OddO2.5","Min",-761.666666666667,0.379147906845348,67.6666666666667
"Med","MFTAGt , MFTHGt","Low",321,0.504277767321246,50.6666666666667
"Med","MFTAGt , MFTHGt","Max",-66,0.444444444444444,11
"Med","MFTAGt , MFTHGt","Med",-108.666666666667,0.448809523809524,36.6666666666667
