"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate","avgBets"
2.5,"MFTHGt , MFTHGm","Min",-309,0.552458289713192,153.666666666667
2.5,"MFTHGt , MFTHGm , OddO2.5","Low",-382,0.527073268921095,185.666666666667
2.5,"MFTHGt , MFTHGm , OddO2.5","Max",298,0.689197530864198,20
2.5,"MFTHGt , MFTHGm , OddO2.5","Med",-330.666666666667,0.525568346996918,102
2.5,"MFTHGt , MFTHGm , OddO2.5","Min",-709,0.521559431853549,263.666666666667
2.5,"MFTHGt , OddO2.5","Low",-252.666666666667,0.507384163407714,166
2.5,"MFTHGt , OddO2.5","Max",511,0.691931216931217,16
2.5,"MFTHGt , OddO2.5","Med",-119,0.510523140880284,88.3333333333333
2.5,"MFTHGt , OddO2.5","Min",-377,0.505413023795377,238
2.5,"OddO2.5","Low",-410.666666666667,0.500896930833525,159.666666666667
2.5,"OddO2.5","Max",461,0.680555555555556,15.3333333333333
2.5,"OddO2.5","Med",-106.333333333333,0.510136490493633,84
2.5,"OddO2.5","Min",-546.333333333333,0.499038116930274,234.666666666667
2.7,"MFTAGm","Low",-142,0.546763483147923,56
2.7,"MFTAGm","Max",5.66666666666667,0.634259259259259,8.33333333333333
2.7,"MFTAGm","Med",-31.3333333333333,0.574007936507936,29.3333333333333
2.7,"MFTAGm","Min",-575.333333333333,0.520272693063641,81
2.7,"MFTAGm , MFTHGm","Low",-284,0.565319865319865,70
2.7,"MFTAGm , MFTHGm","Max",167.666666666667,0.643518518518518,11.3333333333333
2.7,"MFTAGm , MFTHGm","Med",-126,0.581746031746032,38.3333333333333
2.7,"MFTAGm , MFTHGm","Min",-848,0.538137546685341,109.333333333333
2.7,"MFTAGm , MFTHGm , OddO2.5","Low",-486.666666666667,0.488497814584771,135.333333333333
2.7,"MFTAGm , MFTHGm , OddO2.5","Max",95.3333333333333,0.551851851851852,8
2.7,"MFTAGm , MFTHGm , OddO2.5","Med",-493.333333333333,0.462271062271062,68
2.7,"MFTAGm , MFTHGm , OddO2.5","Min",-604,0.500064133397467,206.666666666667
2.7,"MFTAGm , OddO2.5","Low",-682.666666666667,0.464955455172846,126
2.7,"MFTAGm , OddO2.5","Max",237,0.591666666666667,7.66666666666667
2.7,"MFTAGm , OddO2.5","Med",-317.666666666667,0.469337606837607,64.3333333333333
2.7,"MFTAGm , OddO2.5","Min",-716.333333333333,0.477905543530544,191.333333333333
2.7,"MFTAGt","Low",-309.666666666667,0.512369162640902,69
2.7,"MFTAGt","Max",-69.6666666666667,0.554166666666667,10.6666666666667
2.7,"MFTAGt","Med",-149.333333333333,0.503968253968254,37
2.7,"MFTAGt","Min",-435,0.531228956228956,101
2.7,"MFTAGt , MFTAGm","Low",-753.666666666667,0.525211352657005,66.3333333333333
2.7,"MFTAGt , MFTAGm","Max",-54.6666666666667,0.597222222222222,10.3333333333333
2.7,"MFTAGt , MFTAGm","Med",-752.333333333333,0.487881562881563,36.6666666666667
2.7,"MFTAGt , MFTAGm","Min",-1188.66666666667,0.516120589650001,103.333333333333
2.7,"MFTAGt , MFTAGm , MFTHGm","Low",-547.333333333333,0.536111111111111,73
2.7,"MFTAGt , MFTAGm , MFTHGm","Max",58.3333333333333,0.716666666666667,12.6666666666667
2.7,"MFTAGt , MFTAGm , MFTHGm","Med",-355.666666666667,0.538364875864876,39
2.7,"MFTAGt , MFTAGm , MFTHGm","Min",-706.666666666667,0.532284372082166,122
2.7,"MFTAGt , MFTAGm , MFTHGm , OddO2.5","Low",-606,0.501426270991488,140
2.7,"MFTAGt , MFTAGm , MFTHGm , OddO2.5","Max",153.333333333333,0.653703703703704,9.66666666666667
2.7,"MFTAGt , MFTAGm , MFTHGm , OddO2.5","Med",-502,0.483475783475783,70
2.7,"MFTAGt , MFTAGm , MFTHGm , OddO2.5","Min",-873,0.502785794452461,210
2.7,"MFTAGt , MFTAGm , OddO2.5","Low",-1120.33333333333,0.458723449122,129.666666666667
2.7,"MFTAGt , MFTAGm , OddO2.5","Max",156,0.543055555555556,9.66666666666667
2.7,"MFTAGt , MFTAGm , OddO2.5","Med",-783.666666666667,0.444235129949416,65.6666666666667
2.7,"MFTAGt , MFTAGm , OddO2.5","Min",-1443.66666666667,0.461751619839855,196.333333333333
2.7,"MFTAGt , MFTHGm","Low",-103.333333333333,0.579951690821256,81.6666666666667
2.7,"MFTAGt , MFTHGm","Max",90.3333333333333,0.747222222222222,14
2.7,"MFTAGt , MFTHGm","Med",43,0.603907203907204,44.3333333333333
2.7,"MFTAGt , MFTHGm","Min",-297.666666666667,0.56239637269049,124.333333333333
2.7,"MFTAGt , MFTHGm , OddO2.5","Low",-393,0.509319907145994,141
2.7,"MFTAGt , MFTHGm , OddO2.5","Max",211.333333333333,0.715740740740741,10.3333333333333
2.7,"MFTAGt , MFTHGm , OddO2.5","Med",-268.666666666667,0.498427960927961,71.6666666666667
2.7,"MFTAGt , MFTHGm , OddO2.5","Min",-400.666666666667,0.512400668390252,209.666666666667
2.7,"MFTAGt , MFTHGt","Low",-257,0.496811019093628,81.6666666666667
2.7,"MFTAGt , MFTHGt","Max",22.3333333333333,0.555291005291005,12.3333333333333
2.7,"MFTAGt , MFTHGt","Med",-135,0.490720390720391,44.3333333333333
2.7,"MFTAGt , MFTHGt","Min",-583.333333333333,0.493922417451829,116.333333333333
2.7,"MFTAGt , MFTHGt , MFTAGm","Low",-555,0.544601161720727,76.3333333333333
2.7,"MFTAGt , MFTHGt , MFTAGm","Max",-119.666666666667,0.547222222222222,12
2.7,"MFTAGt , MFTHGt , MFTAGm","Med",-523.333333333333,0.511843711843712,42
2.7,"MFTAGt , MFTHGt , MFTAGm","Min",-1198.33333333333,0.517981990776108,120.666666666667
2.7,"MFTAGt , MFTHGt , MFTAGm , MFTHGm","Low",-333,0.562812911725955,82
2.7,"MFTAGt , MFTHGt , MFTAGm , MFTHGm","Max",4.33333333333329,0.707098765432099,13.3333333333333
2.7,"MFTAGt , MFTHGt , MFTAGm , MFTHGm","Med",-347.333333333333,0.569586894586895,44.6666666666667
2.7,"MFTAGt , MFTHGt , MFTAGm , MFTHGm","Min",-951.333333333333,0.538392105579606,132.333333333333
2.7,"MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Low",-637.333333333333,0.511194741584234,138.333333333333
2.7,"MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Max",263.666666666667,0.768518518518518,9.33333333333333
2.7,"MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Med",-563.333333333333,0.499828478399907,69.6666666666667
2.7,"MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Min",-668.666666666667,0.512808406190759,201
2.7,"MFTAGt , MFTHGt , MFTAGm , OddO2.5","Low",-796.666666666667,0.483952773943716,132
2.7,"MFTAGt , MFTHGt , MFTAGm , OddO2.5","Max",323.333333333333,0.630555555555556,9.66666666666667
2.7,"MFTAGt , MFTHGt , MFTAGm , OddO2.5","Med",-502,0.484123350194779,68.3333333333333
2.7,"MFTAGt , MFTHGt , MFTAGm , OddO2.5","Min",-1117.33333333333,0.480489064312594,196.333333333333
2.7,"MFTAGt , MFTHGt , MFTHGm","Low",83.3333333333333,0.574020876466529,90.3333333333333
2.7,"MFTAGt , MFTHGt , MFTHGm","Max",23.6666666666666,0.6880291005291,15
2.7,"MFTAGt , MFTHGt , MFTHGm","Med",0.999999999999962,0.586782661782662,50
2.7,"MFTAGt , MFTHGt , MFTHGm","Min",-325.666666666667,0.556914381914382,134.666666666667
2.7,"MFTAGt , MFTHGt , MFTHGm , OddO2.5","Low",-437,0.516960299161386,142.666666666667
2.7,"MFTAGt , MFTHGt , MFTHGm , OddO2.5","Max",301.666666666667,0.797222222222222,10.6666666666667
2.7,"MFTAGt , MFTHGt , MFTHGm , OddO2.5","Med",-353.666666666667,0.510294203151346,74
2.7,"MFTAGt , MFTHGt , MFTHGm , OddO2.5","Min",-491.666666666667,0.516823456023824,206
2.7,"MFTAGt , MFTHGt , OddO2.5","Low",-715.666666666667,0.477835528333717,131.333333333333
2.7,"MFTAGt , MFTHGt , OddO2.5","Max",283,0.586111111111111,10.6666666666667
2.7,"MFTAGt , MFTHGt , OddO2.5","Med",-387.333333333333,0.472693179836037,68
2.7,"MFTAGt , MFTHGt , OddO2.5","Min",-1009.33333333333,0.476028492204963,194.333333333333
2.7,"MFTAGt , OddO2.5","Low",-1068.66666666667,0.463228820294038,124.333333333333
2.7,"MFTAGt , OddO2.5","Max",229,0.641203703703704,8.33333333333333
2.7,"MFTAGt , OddO2.5","Med",-633.666666666667,0.457828943543229,61.6666666666667
2.7,"MFTAGt , OddO2.5","Min",-1274,0.469837629917287,187.333333333333
2.7,"MFTHGm","Low",61.6666666666667,0.601010101010101,64
2.7,"MFTHGm","Max",138.666666666667,0.784722222222222,11
2.7,"MFTHGm","Med",256.666666666667,0.660515873015873,35
2.7,"MFTHGm","Min",-203.666666666667,0.587290041464614,93.3333333333333
2.7,"MFTHGm , OddO2.5","Low",-735,0.484167241775937,133
2.7,"MFTHGm , OddO2.5","Max",49.3333333333333,0.542592592592593,9
2.7,"MFTHGm , OddO2.5","Med",-534.666666666667,0.463593813593814,67
2.7,"MFTHGm , OddO2.5","Min",-716.333333333333,0.498035914702581,200
2.7,"MFTHGt","Low",277,0.55629290617849,51
2.7,"MFTHGt","Max",52.6666666666667,0.72962962962963,8.33333333333333
2.7,"MFTHGt","Med",-35.6666666666667,0.536385836385836,28.3333333333333
2.7,"MFTHGt","Min",3.3333333333333,0.529649218762122,77
2.7,"MFTHGt , MFTAGm","Low",-324.333333333333,0.555820105820106,72
2.7,"MFTHGt , MFTAGm","Max",45.6666666666667,0.59510582010582,12
2.7,"MFTHGt , MFTAGm","Med",-188,0.566178266178266,40.3333333333333
2.7,"MFTHGt , MFTAGm","Min",-954.666666666667,0.524693944048783,108
2.7,"MFTHGt , MFTAGm , MFTHGm","Low",-426,0.531114195788109,76.6666666666667
2.7,"MFTHGt , MFTAGm , MFTHGm","Max",8.66666666666667,0.581349206349206,12.3333333333333
2.7,"MFTHGt , MFTAGm , MFTHGm","Med",-323.333333333333,0.550793650793651,42.3333333333333
2.7,"MFTHGt , MFTAGm , MFTHGm","Min",-1196,0.500182025672222,120.333333333333
2.7,"MFTHGt , MFTAGm , MFTHGm , OddO2.5","Low",-783.666666666667,0.474982746721877,136.333333333333
2.7,"MFTHGt , MFTAGm , MFTHGm , OddO2.5","Max",120,0.518518518518518,8
2.7,"MFTHGt , MFTAGm , MFTHGm , OddO2.5","Med",-648,0.447028897028897,68.6666666666667
2.7,"MFTHGt , MFTAGm , MFTHGm , OddO2.5","Min",-787.333333333333,0.490965207631874,200.666666666667
2.7,"MFTHGt , MFTAGm , OddO2.5","Low",-897.666666666667,0.457792469205513,130
2.7,"MFTHGt , MFTAGm , OddO2.5","Max",331,0.662037037037037,8
2.7,"MFTHGt , MFTAGm , OddO2.5","Med",-375.666666666667,0.468287037037037,67.6666666666667
2.7,"MFTHGt , MFTAGm , OddO2.5","Min",-960,0.467634554874138,194.666666666667
2.7,"MFTHGt , MFTHGm","Low",-149,0.568668569755526,68
2.7,"MFTHGt , MFTHGm","Max",-40.6666666666667,0.699404761904762,11.6666666666667
2.7,"MFTHGt , MFTHGm","Med",-179.666666666667,0.561750749250749,37
2.7,"MFTHGt , MFTHGm","Min",-653,0.534753092884813,103.333333333333
2.7,"MFTHGt , MFTHGm , OddO2.5","Low",-665.333333333333,0.494053370140327,135.333333333333
2.7,"MFTHGt , MFTHGm , OddO2.5","Max",142.333333333333,0.601851851851852,10
2.7,"MFTHGt , MFTHGm , OddO2.5","Med",-537.666666666667,0.474664224664225,70.6666666666667
2.7,"MFTHGt , MFTHGm , OddO2.5","Min",-789.333333333333,0.499739458072791,196
2.7,"MFTHGt , OddO2.5","Low",-1016.33333333333,0.438647342995169,124
2.7,"MFTHGt , OddO2.5","Max",231,0.462962962962963,7.33333333333333
2.7,"MFTHGt , OddO2.5","Med",-529.666666666667,0.426037851037851,64.6666666666667
2.7,"MFTHGt , OddO2.5","Min",-1088.33333333333,0.45544733044733,183
2.7,"OddO2.5","Low",-776.333333333333,0.447941893050589,114.666666666667
2.7,"OddO2.5","Max",233.666666666667,0.655555555555556,5.33333333333333
2.7,"OddO2.5","Med",-462.333333333333,0.443406824656825,59.3333333333333
2.7,"OddO2.5","Min",-756.333333333333,0.466238275613276,170.333333333333
2.9,"MFTAGm","Low",34.3333333333333,0.541666666666667,38.6666666666667
2.9,"MFTAGm","Max",27.3333333333333,0.625,6.33333333333333
2.9,"MFTAGm","Med",100.333333333333,0.609567901234568,21.6666666666667
2.9,"MFTAGm","Min",-418.666666666667,0.506128818455207,59
2.9,"MFTAGm , MFTHGm","Low",-199,0.58484126984127,46.3333333333333
2.9,"MFTAGm , MFTHGm","Max",-1.66666666666666,0.636111111111111,7.33333333333333
2.9,"MFTAGm , MFTHGm","Med",-199.333333333333,0.584443334443334,24
2.9,"MFTAGm , MFTHGm","Min",-592,0.567046173308033,78
