"NVariables","Variables","Profit","Accuracy","NumBets","TrainingDataSize","Threshold"
3,"MFTHGt , MFTAGm , OddO2.5",856,0.958333333333333,5,"Max",2.5
3,"MFTHGt , MFTHGm , OddO2.5",254,0.7,5,"Max",2.5
3,"MFTAGm , MFTHGm , OddO2.5",359,0.675,5,"Max",2.5
4,"MFTAGt , MFTHGt , MFTAGm , MFTHGm",785,0.795238095238095,5,"Max",2.5
4,"MFTAGt , MFTHGt , MFTAGm , OddO2.5",341,0.770833333333333,5,"Max",2.5
4,"MFTAGt , MFTHGt , MFTHGm , OddO2.5",49,0.6125,5,"Max",2.5
4,"MFTAGt , MFTAGm , MFTHGm , OddO2.5",762,0.825,5,"Max",2.5
4,"MFTHGt , MFTAGm , MFTHGm , OddO2.5",456,0.728571428571429,5,"Max",2.5
5,"MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5",517,0.8,5,"Max",2.5
1,"MFTAGt",711,0.558080808080808,6,"Min",2.7
1,"MFTHGt",74,0.556172839506173,6,"Min",2.7
1,"MFTAGm",110,0.594270833333333,6,"Min",2.7
1,"MFTHGm",-329,0.53921568627451,6,"Min",2.7
1,"OddO2.5",-3386,0.402934102934103,6,"Min",2.7
2,"MFTAGt , MFTHGt",227,0.588830532212885,6,"Min",2.7
2,"MFTAGt , MFTAGm",-187,0.582703081232493,6,"Min",2.7
2,"MFTAGt , MFTHGm",218,0.586764705882353,6,"Min",2.7
2,"MFTAGt , OddO2.5",-336,0.536939775910364,6,"Min",2.7
2,"MFTHGt , MFTAGm",225,0.553763440860215,6,"Min",2.7
2,"MFTHGt , MFTHGm",465,0.597767857142857,6,"Min",2.7
2,"MFTHGt , OddO2.5",-808,0.479166666666667,6,"Min",2.7
2,"MFTAGm , MFTHGm",-374,0.58656994047619,6,"Min",2.7
2,"MFTAGm , OddO2.5",490,0.549019607843137,6,"Min",2.7
2,"MFTHGm , OddO2.5",-609,0.536134453781513,6,"Min",2.7
3,"MFTAGt , MFTHGt , MFTAGm",518,0.604761904761905,6,"Min",2.7
3,"MFTAGt , MFTHGt , MFTHGm",446,0.608694083694084,6,"Min",2.7
3,"MFTAGt , MFTHGt , OddO2.5",-109,0.563239538239538,6,"Min",2.7
3,"MFTAGt , MFTAGm , MFTHGm",867,0.64505772005772,6,"Min",2.7
3,"MFTAGt , MFTAGm , OddO2.5",-86.0000000000001,0.568542568542569,6,"Min",2.7
3,"MFTAGt , MFTHGm , OddO2.5",-955,0.538865546218487,6,"Min",2.7
3,"MFTHGt , MFTAGm , MFTHGm",758,0.597727272727273,6,"Min",2.7
3,"MFTHGt , MFTAGm , OddO2.5",851,0.583333333333333,6,"Min",2.7
3,"MFTHGt , MFTHGm , OddO2.5",563,0.60994623655914,6,"Min",2.7
3,"MFTAGm , MFTHGm , OddO2.5",-194,0.61313244047619,6,"Min",2.7
4,"MFTAGt , MFTHGt , MFTAGm , MFTHGm",906,0.635677083333333,6,"Min",2.7
4,"MFTAGt , MFTHGt , MFTAGm , OddO2.5",652,0.640168970814132,6,"Min",2.7
4,"MFTAGt , MFTHGt , MFTHGm , OddO2.5",359,0.616269841269841,6,"Min",2.7
4,"MFTAGt , MFTAGm , MFTHGm , OddO2.5",843,0.676370851370851,6,"Min",2.7
4,"MFTHGt , MFTAGm , MFTHGm , OddO2.5",777,0.595572916666667,6,"Min",2.7
5,"MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5",929,0.648540706605223,6,"Min",2.7
1,"MFTAGt",1110,0.590579710144927,3,"Low",2.7
1,"MFTHGt",336,0.627450980392157,3,"Low",2.7
1,"MFTAGm",-174,0.571969696969697,3,"Low",2.7
1,"MFTHGm",-399,0.493055555555556,3,"Low",2.7
1,"OddO2.5",-1487,0.403312629399586,3,"Low",2.7
2,"MFTAGt , MFTHGt",454,0.605555555555556,3,"Low",2.7
2,"MFTAGt , MFTAGm",151,0.607638888888889,3,"Low",2.7
2,"MFTAGt , MFTHGm",-78.0000000000001,0.547222222222222,3,"Low",2.7
2,"MFTAGt , OddO2.5",491,0.547123015873016,3,"Low",2.7
2,"MFTHGt , MFTAGm",220,0.531746031746032,3,"Low",2.7
2,"MFTHGt , MFTHGm",455,0.596969696969697,3,"Low",2.7
2,"MFTHGt , OddO2.5",160,0.508333333333333,3,"Low",2.7
2,"MFTAGm , MFTHGm",-383,0.591666666666667,3,"Low",2.7
2,"MFTAGm , OddO2.5",371,0.534722222222222,3,"Low",2.7
2,"MFTHGm , OddO2.5",420,0.558234126984127,3,"Low",2.7
3,"MFTAGt , MFTHGt , MFTAGm",556,0.631944444444444,3,"Low",2.7
3,"MFTAGt , MFTHGt , MFTHGm",486,0.601449275362319,3,"Low",2.7
3,"MFTAGt , MFTHGt , OddO2.5",254,0.573913043478261,3,"Low",2.7
3,"MFTAGt , MFTAGm , MFTHGm",897,0.665217391304348,3,"Low",2.7
3,"MFTAGt , MFTAGm , OddO2.5",-48.0000000000001,0.568840579710145,3,"Low",2.7
3,"MFTAGt , MFTHGm , OddO2.5",-42.0000000000001,0.554960317460317,3,"Low",2.7
3,"MFTHGt , MFTAGm , MFTHGm",354,0.565217391304348,3,"Low",2.7
3,"MFTHGt , MFTAGm , OddO2.5",764,0.575757575757576,3,"Low",2.7
3,"MFTHGt , MFTHGm , OddO2.5",553,0.601587301587302,3,"Low",2.7
3,"MFTAGm , MFTHGm , OddO2.5",-393,0.592424242424242,3,"Low",2.7
4,"MFTAGt , MFTHGt , MFTAGm , MFTHGm",735,0.637878787878788,3,"Low",2.7
4,"MFTAGt , MFTHGt , MFTAGm , OddO2.5",347,0.654761904761905,3,"Low",2.7
4,"MFTAGt , MFTHGt , MFTHGm , OddO2.5",399,0.61231884057971,3,"Low",2.7
4,"MFTAGt , MFTAGm , MFTHGm , OddO2.5",602,0.668840579710145,3,"Low",2.7
4,"MFTHGt , MFTAGm , MFTHGm , OddO2.5",374,0.568181818181818,3,"Low",2.7
5,"MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5",647,0.646825396825397,3,"Low",2.7
1,"MFTAGt",751,0.589285714285714,3,"Med",2.7
1,"MFTHGt",-288,0.458333333333333,3,"Med",2.7
1,"MFTAGm",227,0.645833333333333,3,"Med",2.7
1,"MFTHGm",755,0.630952380952381,3,"Med",2.7
1,"OddO2.5",-958,0.368681318681319,3,"Med",2.7
2,"MFTAGt , MFTHGt",-323,0.538095238095238,3,"Med",2.7
2,"MFTAGt , MFTAGm",138,0.601190476190476,3,"Med",2.7
2,"MFTAGt , MFTHGm",669,0.634523809523809,3,"Med",2.7
2,"MFTAGt , OddO2.5",612,0.586904761904762,3,"Med",2.7
2,"MFTHGt , MFTAGm",102,0.538461538461538,3,"Med",2.7
2,"MFTHGt , MFTHGm",816,0.653846153846154,3,"Med",2.7
2,"MFTHGt , OddO2.5",-404,0.378787878787879,3,"Med",2.7
2,"MFTAGm , MFTHGm",114,0.613888888888889,3,"Med",2.7
2,"MFTAGm , OddO2.5",520,0.553571428571429,3,"Med",2.7
2,"MFTHGm , OddO2.5",1232,0.643877551020408,3,"Med",2.7
3,"MFTAGt , MFTHGt , MFTAGm",313,0.630952380952381,3,"Med",2.7
3,"MFTAGt , MFTHGt , MFTHGm",289,0.630952380952381,3,"Med",2.7
3,"MFTAGt , MFTHGt , OddO2.5",-123,0.55,3,"Med",2.7
3,"MFTAGt , MFTAGm , MFTHGm",935,0.680769230769231,3,"Med",2.7
3,"MFTAGt , MFTAGm , OddO2.5",38,0.57051282051282,3,"Med",2.7
3,"MFTAGt , MFTHGm , OddO2.5",709,0.625,3,"Med",2.7
3,"MFTHGt , MFTAGm , MFTHGm",630,0.576923076923077,3,"Med",2.7
3,"MFTHGt , MFTAGm , OddO2.5",726,0.653846153846154,3,"Med",2.7
3,"MFTHGt , MFTHGm , OddO2.5",814,0.652777777777778,3,"Med",2.7
3,"MFTAGm , MFTHGm , OddO2.5",204,0.629166666666667,3,"Med",2.7
4,"MFTAGt , MFTHGt , MFTAGm , MFTHGm",834,0.638888888888889,3,"Med",2.7
4,"MFTAGt , MFTHGt , MFTAGm , OddO2.5",233,0.674242424242424,3,"Med",2.7
4,"MFTAGt , MFTHGt , MFTHGm , OddO2.5",495,0.672619047619048,3,"Med",2.7
4,"MFTAGt , MFTAGm , MFTHGm , OddO2.5",739,0.702564102564103,3,"Med",2.7
4,"MFTHGt , MFTAGm , MFTHGm , OddO2.5",730,0.625,3,"Med",2.7
5,"MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5",767,0.704545454545455,3,"Med",2.7
1,"MFTAGt",-171,0.458333333333333,2,"Max",2.7
1,"MFTHGt",122,0.833333333333333,2,"Max",2.7
1,"MFTAGm",637,0.9375,2,"Max",2.7
1,"MFTHGm",224,0.666666666666667,2,"Max",2.7
1,"OddO2.5",-40,0.333333333333333,2,"Max",2.7
2,"MFTAGt , MFTHGt",-74,0.583333333333333,2,"Max",2.7
2,"MFTAGt , MFTAGm",231,0.729166666666667,2,"Max",2.7
2,"MFTAGt , MFTHGm",-157,0.470833333333333,2,"Max",2.7
2,"MFTAGt , OddO2.5",-371,0.416666666666667,2,"Max",2.7
2,"MFTHGt , MFTAGm",456,1,2,"Max",2.7
2,"MFTHGt , MFTHGm",291,0.666666666666667,2,"Max",2.7
2,"MFTHGt , OddO2.5",212,0.833333333333333,2,"Max",2.7
2,"MFTAGm , MFTHGm",460,0.8375,2,"Max",2.7
2,"MFTAGm , OddO2.5",700,0.9375,2,"Max",2.7
2,"MFTHGm , OddO2.5",376,0.708333333333333,2,"Max",2.7
3,"MFTAGt , MFTHGt , MFTAGm",388,0.833333333333333,2,"Max",2.7
3,"MFTAGt , MFTHGt , MFTHGm",-69,0.541666666666667,2,"Max",2.7
3,"MFTAGt , MFTHGt , OddO2.5",-74,0.583333333333333,2,"Max",2.7
3,"MFTAGt , MFTAGm , MFTHGm",347,0.741666666666667,2,"Max",2.7
3,"MFTAGt , MFTAGm , OddO2.5",231,0.729166666666667,2,"Max",2.7
3,"MFTAGt , MFTHGm , OddO2.5",163,0.5875,2,"Max",2.7
3,"MFTHGt , MFTAGm , MFTHGm",444,0.833333333333333,2,"Max",2.7
3,"MFTHGt , MFTAGm , OddO2.5",618,1,2,"Max",2.7
3,"MFTHGt , MFTHGm , OddO2.5",291,0.666666666666667,2,"Max",2.7
