"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate"
"Min","MFTHGt , MFTAGm , MFTHGm","Low",-681.333333333333,0.537896825396825
"Min","MFTHGt , MFTAGm , MFTHGm","Max",258.666666666667,0.754861111111111
"Min","MFTHGt , MFTAGm , MFTHGm","Med",344.666666666667,0.618424036281179
"Min","MFTHGt , MFTAGm , MFTHGm","Min",-1220,0.537414410208528
"Min","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Low",-739,0.521643518518519
"Min","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Max",43,0.610449735449735
"Min","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Med",361.666666666667,0.567054043839758
"Min","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Min",-1620.33333333333,0.510177404295051
"Min","MFTHGt , MFTAGm , OddO2.5","Low",-1063.66666666667,0.492972883597884
"Min","MFTHGt , MFTAGm , OddO2.5","Max",254.666666666667,0.622189153439153
"Min","MFTHGt , MFTAGm , OddO2.5","Med",250,0.540173847316704
"Min","MFTHGt , MFTAGm , OddO2.5","Min",-1882,0.486609088079676
"Min","MFTHGt , MFTHGm","Low",-498.333333333333,0.518766534391534
"Min","MFTHGt , MFTHGm","Max",131.333333333333,0.679861111111111
"Min","MFTHGt , MFTHGm","Med",431,0.639332955404384
"Min","MFTHGt , MFTHGm","Min",-1070.66666666667,0.531014328808446
"Min","MFTHGt , MFTHGm , OddO2.5","Low",-777.666666666667,0.516032848324515
"Min","MFTHGt , MFTHGm , OddO2.5","Max",23.3333333333333,0.60082671957672
"Min","MFTHGt , MFTHGm , OddO2.5","Med",421.333333333333,0.568886999244142
"Min","MFTHGt , MFTHGm , OddO2.5","Min",-1642.33333333333,0.507061157796452
"Min","MFTHGt , OddO2.5","Low",-661.333333333333,0.496274729698643
"Min","MFTHGt , OddO2.5","Max",148.666666666667,0.572023809523809
"Min","MFTHGt , OddO2.5","Med",487.333333333333,0.537327024827025
"Min","MFTHGt , OddO2.5","Min",-1289,0.492599901913627
"Min","OddO2.5","Low",-599.666666666667,0.488330074380799
"Min","OddO2.5","Max",122.666666666667,0.530753968253968
"Min","OddO2.5","Med",428.333333333333,0.520033868248154
"Min","OddO2.5","Min",-1383.66666666667,0.485707683746899
"Med","MFTAGm","Low",-429.333333333333,0.482326892109501
"Med","MFTAGm","Max",87,0.706018518518518
"Med","MFTAGm","Med",162.333333333333,0.577380952380952
"Med","MFTAGm","Min",-592.666666666667,0.528337399475919
"Med","MFTAGm , MFTHGm","Low",-47.6666666666667,0.599243731308949
"Med","MFTAGm , MFTHGm","Max",286.666666666667,0.811111111111111
"Med","MFTAGm , MFTHGm","Med",440.666666666667,0.716118669690098
"Med","MFTAGm , MFTHGm","Min",-228.666666666667,0.609995832054656
"Med","MFTAGm , MFTHGm , OddO2.5","Low",-879,0.478689674523008
"Med","MFTAGm , MFTHGm , OddO2.5","Max",72,0.665277777777778
"Med","MFTAGm , MFTHGm , OddO2.5","Med",176,0.517479213907785
